osm_id,osm_type,name,operator,brand,latitude,longitude,capacity,socket_type,socket_type2,opening_hours,access,fee,website,phone
10240014908,node,,,,28.633573,77.2234733,,,,,,,,
10241768254,node,,,,28.5903206,77.2201483,,,,,,,,
10241775591,node,,,,28.5902808,77.2197587,,,,,,,,
10241805232,node,,,,28.5903207,77.2201225,,,,,,,,
10241808063,node,,,,28.5903054,77.2199561,,,,,,,,
10564130631,node,,,,28.6003513,77.2267809,,,,,,,,
10576228241,node,,,,28.596925,77.2229085,,,,,yes,,,
10694479767,node,,,,28.563383,77.2647745,2,,,,,,,
10703875766,node,,,,28.7263595,77.1628441,,,,,,,,
10778957417,node,,,,28.7242899,77.1802238,,,,,private,,,
10905351902,node,,,,28.6342282,77.2195272,,,,,,,,
10908485585,node,,,,28.6993047,77.203949,,,,,,,,
10908485595,node,,,,28.6992861,77.203999,,,,,,,,
10922054270,node,,,,28.6315233,77.2199032,,,,,,,,
10948867107,node,,,,28.5404442,77.2349474,,,,,,,,
11030050466,node,,,,28.5715108,77.2369501,,,,,,,,
11030050467,node,,,,28.5715706,77.2369881,,,,,,,,
11083172400,node,,,Charge Karo,28.5443474,77.2455856,6,,,,,,,
11083172401,node,,,Charge Karo,28.5443273,77.2455165,,,,,,,,
11132023351,node,,,,28.5844378,77.2205342,,,,,,,,
11148213616,node,,,,28.622435,77.2890724,,,,,,yes,,
11288533005,node,,,,28.5497356,77.2594429,,,,,,,,
11288533006,node,,,,28.5497042,77.2594888,,,,,,,,
11288533008,node,,,,28.5496589,77.2595584,,,,,,,,
11288533010,node,,,,28.5496792,77.2595256,,,,,,,,
11288533011,node,,,,28.5497534,77.2594016,,,,,,,,
11368545133,node,,,Charge Karo,28.5697606,77.2381099,,,,,,,,
11406900271,node,,,Tata Power,28.6019401,77.2372754,1,,1,,,,,
11414388215,node,,,,28.5508417,77.2343743,,,,,,,,
11414388216,node,,,,28.5508303,77.2343614,,,,,,,,
11421789517,node,,,,28.6177007,77.28703,,,,,,,,
11421789521,node,,,,28.6176864,77.2870367,,,,,,,,
11449177423,node,,,,28.6606575,77.1433393,,,,,,,,
11454822427,node,,,,28.6672518,77.2532299,,,,,,,,
11454822430,node,,,,28.6672527,77.2532856,,,,,,,,
11454822431,node,,,,28.667252,77.2532583,,,,,,,,
11478464616,node,,,,28.6229566,77.2989161,,,,,,,,
11601441778,node,,,,28.6531076,77.1562309,,,,,,,,
11601441779,node,Switch Station,,,28.6530158,77.1563495,,,,,,,,
11601441781,node,,,,28.6531276,77.1561984,,,,,,,,
11637354348,node,,,,28.6338798,77.2175045,,,,,,,,
11642004107,node,,,,28.6272979,77.2319249,,,,,,,,
11697454694,node,,,,28.5508115,77.2510865,,,,,,,,
11697454712,node,,,,28.5508585,77.2510569,,,,,,,,
11771960493,node,,,,28.5544887,77.195939,,,,,,,,
11795617114,node,,,Xicom,28.6286105,77.2196866,1,,,,,,,
11821495340,node,,,Charj Karo,28.6799791,77.2085882,3,,,,,,,
11871740090,node,,,,28.5649281,77.2245367,,,,,,,,
11873258339,node,,,,28.5540272,77.212758,,,,,,,,
11875814624,node,Ganpati Smart Point,,,28.6775315,77.2080457,,,,,,yes,,
11875926233,node,,,EESL,28.6219707,77.1948236,4,,,,,no,,
11882034350,node,,,,28.5416057,77.2328267,,,,,,,,
11882034351,node,,,,28.5333783,77.2317719,,,,,,,,
11882034353,node,,,,28.541597,77.2328551,,,,,,,,
11891087067,node,,,,28.5483295,77.2547433,,,,,,,,
11891087068,node,,,,28.5482916,77.2547553,,,,,,,,
11934676233,node,,,,28.586642,77.2407912,,,,,,,,
11982372933,node,,One Delhi,,28.5964138,77.2935572,,,,,,,,
12031201050,node,Swap Point,,Sun Mobility,28.5442512,77.264671,,,,,,,,
12064267225,node,,,,28.6382309,77.2873054,,,,,,,,
12098546110,node,,Energy Efficiency Services Limited (EESL),Ather,28.6316265,77.222004,2,,,,,,,
12123396312,node,,,Yuma,28.6952457,77.2153259,,,,,,,,
12192527479,node,,,Statiq,28.5133039,77.1860742,,,,,,yes,,
12196467738,node,,,Battery Smart,28.688648,77.2067275,3,,,,,yes,,
12352455245,node,,,,28.6492602,77.316582,,,,,,,,
12596574170,node,,,Electric Vehicle Charging Station,28.6622203,77.3000898,,,,,,,,
12647193426,node,,,Yuma,28.5910595,77.0429824,,,,,,,,
12672890507,node,,,,28.5904687,77.2331036,,,,,,yes,,
12811975823,node,,,Okaya,28.5679245,77.2427016,,,,,,,,
12823839873,node,,,,28.6251684,77.3056013,,,,,,,,
12894372007,node,,,,28.6112384,77.2449181,,,,,,,,
12901933482,node,,,,28.5875463,77.226213,,,,,,,,
12901933483,node,,,,28.58752,77.226218,,,,,,,,
12903526837,node,,,Yuma,28.5810704,77.2390952,,,,,,,,
12972970667,node,,,,28.5793023,77.1883978,,,,,,,,
12973875562,node,,,,28.5613597,77.0813217,,,,,no,,,
13110034737,node,,,BAAZ,28.6856903,77.205345,,,,,,yes,,
13110034738,node,,,Charj Karo,28.6857175,77.2053595,,,,,,yes,,
13294609048,node,,,,28.587169,77.2413624,,,,,,,,
13351067902,node,,,,28.6185254,77.2871601,,,,,,,,
13624573647,node,,,EESL,28.5564985,77.2326653,1,,1,,,yes,,
13624573656,node,,,EESL,28.5564627,77.2326631,1,,1,,,yes,,
13632992904,node,,,Honda e:swap,28.6253953,77.2332995,,,,,,,,
13632992905,node,,,Yuma,28.625397,77.2331692,,,,,,,,
13633628620,node,,,Ather,28.6915005,77.2092134,,,,,,yes,,
13688377301,node,Tesla Supercharger,Tesla,Tesla Supercharger,28.5515313,77.1218893,,,,24/7,yes,yes,https://www.tesla.com/findus/location/supercharger/456659,
13688398004,node,,,,28.5515415,77.121598,,,,24/7,yes,yes,https://www.tesla.com/findus/location/supercharger/456659,
13746020730,node,,,,28.5694639,77.2044503,,,,,,,,
13746020743,node,,,Yuma,28.5466296,77.1950119,,,,,,,,
13757728976,node,,,,28.5805655,77.1796965,,,,,,,,
13800324487,node,,,,28.5962686,77.2046077,,,,,,,,
13807361239,node,,,,28.5805088,77.1793725,,,,,,,,
13820100532,node,,,Vida,28.5592932,77.232144,,,,,,,,
13890311968,node,IGL EV charging station,,,28.5899305,77.229278,,,,,,,,
13969467531,node,,,ElectriVa,28.5698471,77.1852904,,,,,,,,
13969467543,node,,,,28.5694049,77.1651098,,,,,,,,
13982741917,node,,,Yuma,28.5610466,77.2312484,,,,,,,,
13982895901,node,,Switch Delhi,,28.576123,77.069508,,,,,,,,
13997784674,node,,,,28.5688051,77.2214679,,,,,,,,
13999844990,node,,,ElectriVa,28.5686034,77.2195292,,,,,,,,
13999844996,node,,,Yuma,28.5686067,77.2204883,,,,,,,,
14016861905,node,,,,28.584619,77.2204289,,,,,,,,
14017165298,node,,,Glida,28.5680604,77.2235189,2,,,,,yes,,
14017179737,node,,,Reliable Charge,28.5827644,77.2511763,,,,,,yes,,
14017179749,node,,,,28.5838252,77.2502725,,,,,,,,
14017179796,node,,,Honda,28.564806,77.2400299,,,,,,,,
14017751400,node,,,,28.5719035,77.2578799,,,,,,,,
14017793416,node,,,,28.5685287,77.2205477,,,,,,,,
14029112723,node,,,,28.5805091,77.2209605,,,,,,,,
14046155283,node,,,,28.5597846,77.1745787,,,,,,,,
14058958230,node,,,Honda,28.6938836,77.2093354,,,,,,,,
14058958254,node,,,,28.6914839,77.2092722,,,,,,yes,,
14058958262,node,,,,28.6914946,77.2092346,,,,,,yes,,
14058958287,node,,,Lectrix EV,28.6914877,77.2092591,,,,,,yes,,
14058958324,node,,,Vinfast,28.6914752,77.2092831,,,,,,yes,,
14066036841,node,,,ElectriVa,28.5723516,77.1802808,,,,,,,,
14074085866,node,Tata Power EV Charging,Tata Power,,28.5947709,77.1333487,30,,,24/7,permissive,,,
14074612257,node,,,,28.6890231,77.2070216,,,,,,,,
14094178511,node,,,,28.693914,77.2183933,,,,,,,,
14094459866,node,,,,28.5584955,77.2393014,,,,,,,,
14100919780,node,,,,28.5688941,77.2194753,,,,,,,,
14100919787,node,,,Blu Smart Charge,28.5680283,77.2200938,2,,,,,,,
14100954403,node,,,,28.5579483,77.1868818,,,,,,,,
14100954447,node,,,,28.5611893,77.1880625,,,,,,,,
14100954555,node,,,,28.556706,77.1864405,,,,,,,,
14101585227,node,,,,28.5556409,77.1765669,,,,,,,,
14101585231,node,,,,28.5422697,77.2272712,,,,,,,,
14101585246,node,,,,28.5439827,77.2045958,,,,,,,,
14101585269,node,,,,28.5663604,77.1663358,,,,,,,,
14101585281,node,,,,28.5459239,77.1970866,,,,,,,,
14101585294,node,,,,28.5600235,77.1708457,,,,,,,,
14106405348,node,,,,28.6183593,77.2871019,,,,,,,,
14115719957,node,,,Vinfast,28.6883428,77.2211638,,,,,,,,
14115719958,node,,,Ather,28.6883767,77.2211596,,,,,,,,
14115719961,node,,,Lectrix EV,28.6884319,77.2211588,,,,,,,,
14131315924,node,,,,28.5592915,77.2361389,,,,,,,,
1200990773,way,,,,28.5888756,77.2530636,4,,,,,,,
1230812469,way,,,TerraCharge,28.6250807,77.3055103,,,,,,,,
1318570394,way,,,,28.5658947,77.2488941,,,,,,,,
1478610222,way,Charj Karo,HLL Infra Tech Services,,28.6335149,77.216504,,,,,,,,
